ACTIVITY,TIME,SL,EEG,BP,HR,CIRCLUATION
2,6609.8,13323.9,-1555.32,16,96,804
0,8002.74,16577,-2570,19,129,928
3,7706.58,9787.82,-3214.57,24,138,554
5,14512,51853.4,-3287.36,58,288,2334
0,10379.4,39071,-4039,24,193,1995
0,5678.97,4384,-1244,8,98,270
3,12872.7,51041.5,-4.28E+03,31,234,2464
0,11031.2,57111,-4560,94,210,2748
0,12285.7,73178,-4880,159,244,3213
5,13028.3,45168.5,-5675.56,151,278,1938
2,11728.9,33366.4,-2.24E+03,24,234,1581
5,8160.02,4721.74,-2668.41,24,131,271
0,18444.8,167373,-15045,231,450,5964
5,9878.02,34527.8,-3740.44,93,176,1922
1,5150.02,4408.6,-1.74E+03,23,85,343
3,15233.5,60006.3,-6500.12,129,305,2610
2,7262.64,9577.27,-2473.83,15,123,621
2,20392.2,412186,-8.14E+03,54,473,14125
2,6117.85,7290.48,-1625.8,48,93,545
2,12860.1,61054.3,-5.74E+03,25,247,2754
4,6733.02,11927.7,-1690.15,20,105,765
4,8572.73,28800.2,-2790.04,34,179,1626
4,14641.8,147058,-6063.28,175,308,6057
0,18130.7,328024,-10699,69,420,12489
0,14080.1,59512.9,-7290.68,173,305,2610
2,10501.1,48215.7,-4.35E+03,21,216,2677
3,8948.92,26866.1,-2987.98,92,158,1403
1,11070.3,70042.9,-5365.92,139,247,3373
3,20012.5,244756,-1.21E+04,85,540,8870
0,21821.8,341478,-12348,378,582,11293
2,2444.73,58.4986,-1.56E+02,96,33,5
5,9352.77,27363.3,-2.05E+03,21,166,1414
2,8328.2,10645.4,-2991.81,93,139,587
3,13857.1,142767,-6161.77,162,308,6057
5,5518.16,1689.88,-1392.46,19,76,147
3,8797.64,28842.4,-2.79E+03,25,156,1364
2,3806.95,2169.38,-1146.25,20,54,165
2,4265.77,4428.26,-2.05E+03,31,85,343
3,6176.71,10458.6,-3.58E+03,19,109,689
5,5120.47,2956.27,-1117.76,45,67,224
3,6539.04,5200.78,-2201.2,53,107,346
4,4559.93,4215.23,-1.63E+03,27,88,292
3,7568.1,9561.9,-2942.48,31,138,554
2,4340.08,2156,-1026.23,20,54,165
0,15630.8,87721,-7885,100,322,3553
2,8755.66,20025,-3446.54,86,163,1162
5,7300.53,19165,-2.82E+03,8,119,973
0,23940.4,588085,-11491,141,616,16961
0,8442.41,8708,-3046,24,125,322
3,14587.3,51504.5,-4.64E+03,45,234,2464
0,8160.82,23175,-3420,6,144,1358
3,6110.93,7565.27,-1676.77,52,93,545
3,7181.65,13812.2,-2323.73,94,120,809
5,10224.6,23521.3,-3454.87,35,176,1313
0,25040.4,598196,-11483,110,504,13970
3,10707.2,37959.2,-4209.09,117,205,1751
2,11236.2,113688,-4.27E+03,42,235,4905
3,8924.95,39564.3,-3.27E+03,21,196,1885
0,10887.1,86516,-6323,38,232,3883
3,8070.64,12020.2,-2565.97,82,128,693
4,5779.34,11043.6,-1930.41,18,102,764
4,8942.01,20858.9,-3556.65,98,163,1162
2,20126.4,147527,-9.91E+03,91,449,5537
0,18056.9,213681,-11531,294,436,8215
2,7843.47,9529.72,-3034.82,97,130,490
4,12821.3,63236.4,-1.05E+03,67,223,2822
2,6015.99,4186.63,-908.565,95,88,318
0,10784.9,15275,-3002,34,188,732
2,3894.71,1459.79,-1060.2,42,52,133
1,5861.25,4753.82,-1.26E+03,21,85,343
0,8384.63,22947,-2680,19,148,1206
0,9645.85,30878,-3372,46,174,1687
4,10930.1,43340.9,-3.38E+03,15,196,1885
0,13214.5,78461,-7165,41,283,3462
2,4971.39,3846.01,-1.13E+03,14,79,317
5,10107.7,36550.1,3.07E+03,42,196,1997
0,5571.4,7105,-3007,31,101,486
4,9947.84,32508.2,-3474.41,89,176,1922
0,6871.48,6703.62,-2635.53,99,121,429
3,4046.38,1957.82,-1071.3,5,63,166
2,8083.82,9520.76,-2939.4,96,130,490
2,5989.77,7534.57,-1601.19,41,93,545
3,20204.4,197233,-4.29E+03,82,403,6746
3,7040.01,9228.11,-3171.63,17,138,554
3,16624,160612,-1.28E+04,81,388,6290
5,7855.66,6621.54,-2275.63,71,109,400
0,10393.1,55550.3,-4128.13,32,209,2967
3,13018.3,80198.6,-6.51E+03,64,272,3539
2,7725.18,9248.6,-3034.76,18,138,554
3,9936.49,32586,-3451.01,72,176,1922
0,9147.95,34962,-3003,86,175,1573
2,7680.97,9366.45,-3033.14,101,130,490
0,16281.7,123351,-13313,261,434,4732
0,14982.8,176369,-9015,81,369,7096
3,6986.27,5263.14,-2170.96,59,107,346
2,4841.94,2749.27,-1316.02,52,67,224
4,2525.35,48.7784,-2.44E+02,96,33,5
0,8618.36,14052,-3110,100,170,732
3,11254.2,111497,-2.86E+03,56,235,4905
3,10144.1,50930.1,-3.41E+03,26,188,2599
0,14720.9,97567,-7000,206,316,3977
3,15632.2,59993.8,8.29E+02,41,215,2188
3,13848.2,51235,-3.63E+03,38,234,2464
3,12764.4,52536.5,-5.98E+03,53,234,2464
2,7326.49,9462.89,-3101.89,20,138,554
0,11885.2,63007,-6305,42,217,2254
3,8732.1,12311.2,-2646.47,90,136,619
5,4374.67,1382.43,-801.809,16,51,102
3,5681.23,3276.05,-1061.05,38,71,249
0,9455.71,46342,-5722,136,184,2319
0,18227.1,347111,-13228,90,479,12500
3,9421.6,52896.1,-2.86E+03,31,188,2599
2,15190.7,117024,-4.62E+03,51,271,4426
3,13269.5,91516,-5.17E+03,48,254,3885
5,10316.6,51449.6,-2.82E+03,19,188,2599
3,10316.1,10647.8,-2.00E+03,42,154,587
0,7773.95,14605,-2648,29,118,845
5,9458.41,36234.1,-4.51E+03,43,196,1997
4,10782.7,18475.4,-3618.03,66,172,973
2,5658.92,4368.51,-8.08E+02,22,88,292
4,8053.62,9814.76,-2372.89,14,123,621
4,9678.72,26456,-3378.94,23,174,1415
4,11036.6,87979.9,-3.63E+03,44,220,3450
0,8518.37,36193,-3697,23,175,2055
2,5399.15,4456.68,-1.14E+03,19,88,292
0,4254.47,670,-1307,4,56,63
3,9666.64,39261.1,-2.22E+03,20,196,1885
2,11260.6,50379.4,-5.27E+03,24,216,2677
2,5290.96,3467.84,-794.13,50,51,132
2,2517.75,51.6195,-5.09E+02,6,33,5
3,4090.9,1887.76,-1099.3,6,63,166
4,7414.79,13978.3,-2404.21,95,120,809
5,9665.21,55039.6,-6.03E+03,47,247,2754
0,7062.15,17573,-3700,23,152,1107
4,13615.3,139869,-2.68E+03,81,315,5844
2,11795.3,114968,-3.22E+03,40,235,4905
5,10863.7,50371.1,-4613.77,99,209,2534
0,7175.6,5759,-2562,13,118,402
0,9975.6,27550,-4447,65,162,1209
3,15119.6,59344.3,-6607.36,158,305,2610
4,7720.79,9174.72,-9.00E+02,25,102,516
4,11016.7,86033,-3.81E+03,29,220,3450
3,20913.2,411870,-7.01E+03,65,473,14125
3,11443.4,38858.6,-1.98E+03,28,166,1414
5,11993.8,48511.1,-4.71E+03,31,215,2188
2,3849.21,2207,-1164.08,20,54,165
2,15964.9,138898,-9.95E+03,86,449,5537
0,12065,79195,-4972,77,262,3792
0,7858.72,13232,-3521,18,127,771
3,4730.48,4005.62,-1.69E+03,13,79,317
4,6692.49,7268.04,-2.34E+03,164,109,486
4,11234.5,39131.3,-3845.38,27,193,2118
2,11673.8,57664.7,-3704.03,100,217,2904
0,10068.7,43249,-5476,29,218,2251
0,11628.3,85672,-4267,16,235,3217
4,18964.7,161434,-9.93E+03,80,388,6290
3,6018.35,4977.71,-1.75E+03,6,79,292
3,24649.9,479361,-1.23E+04,53,483,15505
4,10406.5,33139.3,-3308.72,72,176,1922
0,25215.1,760488,-20120,149,753,24015
3,10661.4,57783.5,-4514.9,145,217,2904
0,6798.85,9089,-2855,22,141,592
0,18169.5,205066,-7343,37,350,6074
3,10798.6,38044.2,-3925.84,99,205,1751
3,15868.4,116098,-4.41E+03,68,271,4426
5,9311.62,37963.6,-3767.61,40,180,2054
0,21830.4,282330,-12443,36,461,9412
0,8217.8,29047,-3157,21,146,1633
2,16251.2,162174,-3306.92,79,352,6744
0,8058.96,14685,-2836,10,152,849
4,8843.85,20472.6,-3469.42,93,163,1162
3,14154.6,140181,-4.46E+03,46,315,5844
2,12677.4,51419.4,-4.82E+03,32,234,2464
1,10801.4,67851.8,-5403.53,142,247,3373
4,9760.95,45002.7,-4.99E+03,40,215,2188
5,14174,63458.7,-6.51E+03,28,247,2754
3,12113.1,115691,-4.23E+03,51,235,4905
0,10110.4,67660,-4612,131,231,3445
4,7928,9487.37,-1.23E+03,28,102,516
3,13355.7,90324.1,-4.66E+03,60,254,3885
4,22826.5,516634,-11652.3,143,540,18067
5,8299.81,4742.18,-2658.51,28,131,271
4,9152.42,20700.1,-3490.95,92,163,1162
4,9596.61,27548.7,-2847,88,158,1403
0,10662.8,59738,-5170,139,186,2460
3,16991.7,161551,-1.17E+04,69,388,6290
3,10214.7,10391.9,-1.88E+03,35,154,587
5,13945.3,51955.3,-5898.67,42,288,2334
0,10739.7,52746,-4828,188,244,2677
3,11731.7,50742.3,-4.44E+03,23,216,2677
3,18339.7,162225,-9.32E+03,79,388,6290
3,14152,51242.3,-4.28E+03,38,234,2464
3,10772.3,27273.2,-4180.45,61,214,1469
0,4571.93,830,-865,9,55,54
0,9043.34,96542,-3050,21,207,4508
0,37729,938123,-17535,159,720,23155
2,10565.6,10500.6,-1.71E+03,36,154,587
4,9924.15,38505.3,-3618.78,44,180,2054
0,13619.9,91846,-9962,99,314,4251
2,2533.06,53.7691,-3.47E+02,96,33,5
0,12443.6,75380,-5810,38,252,3212
0,8428.62,10773,-3336,25,157,619
2,7985.39,9877.02,-2792.17,101,130,490
2,12894.8,50972.1,-5.29E+03,34,234,2464
3,9393.71,26548.7,-3346.48,21,174,1415
2,6564.77,13067.3,-1624.74,16,96,804
1,5659.43,4683.14,-9.66E+02,20,85,343
0,10527.2,27400,-4357,41,188,982
0,8950.55,18907,-3571,24,149,897
5,7772.98,4700.2,-2612.2,38,131,271
3,10099.8,53054,1.63E+02,35,188,2599
3,6515.93,12244.7,-1842.63,6,105,765
0,11541.9,70909,-6769,27,247,3458
3,11153,50138.9,-5.82E+03,23,216,2677
3,8795.66,16421.5,-2808.1,75,142,844
5,6851.9,8311.36,-1.57E+03,15,102,516
4,9315.54,26206.7,-3469.2,23,174,1415
4,8377.17,12301.8,-2537.5,82,128,693
0,8940.96,31361,-4011,92,178,1806
0,11884.1,41880,-5381,194,246,2062
5,18545.9,147541,-7238,183,362,5847
0,19826,279817,-11745,268,418,9275
0,12338.5,36608,-6731,100,204,1638
4,9307.98,11350.5,-3025.38,43,156,654
4,5867.53,11313.9,-1953.79,25,102,764
2,17521.2,164801,-7387.81,68,352,6744
0,6291.36,13356,-2877,13,104,844
4,8517.1,4752.03,-2614.01,26,131,271
5,11743.2,71465.8,-5628.81,43,262,3211
5,9786.32,30057.3,-3190.68,105,171,1747
0,8503.38,14053,-2715,49,153,767
5,12468,70923.5,-5482.15,49,262,3211
1,11408.4,68804.5,-5205.23,147,247,3373
5,12194.3,60321.9,-4.10E+03,30,223,2822
4,11793.2,52770.3,-3.20E+03,51,224,2192
2,5298.89,4150.24,-1.74E+03,10,79,317
5,7822.65,12034.7,-2807.72,82,130,694
3,10518.9,26472.9,-4343.73,42,214,1469
4,13649.5,61061,-4.43E+03,31,247,2754
4,10400.7,17223.1,-3616.49,83,172,973
5,9858.32,53006.1,-2.92E+03,35,188,2599
2,6655.78,13323.9,-1567.08,17,96,804
0,10384.4,30508,-3473,34,207,1521
1,4909.12,4660.78,-1.11E+03,25,85,343
0,12498.9,48009,-7247,168,256,2258
4,5655.46,7107.36,-1684.32,53,93,545
4,13224.5,80382.7,-5.18E+03,44,272,3539
0,6293.43,9485,-3055,30,132,623
4,14818,140340,-4.06E+03,49,315,5844
3,6901.22,11985.5,-1572.92,34,105,765
0,9180.34,32883,-4972,14,189,1809
5,7584.61,6720.35,-1.22E+03,12,119,395
2,2273.6,52.2644,-2.42E+02,8,33,5
4,8278.23,9646.32,-2816.14,22,138,554
4,9948.13,35216,-4435.95,130,208,1691
3,6040.65,4219.98,-1167.72,119,88,318
3,20602.7,143224,-7.17E+03,79,449,5537
1,6339.03,5323.61,-2.37E+03,8,79,292
4,8635.09,11354.5,-3073.68,45,156,654
0,15664.1,99035,-6965,95,288,3061
0,7620.4,20031,-3901,66,157,1208
0,11432.9,36350.6,-5645.27,15,225,1755
3,16006.5,173432,-5.47E+03,93,403,6746
2,5072.47,4273.39,-1.16E+03,11,79,317
0,28169.2,530984,-11004,74,537,14320
3,13484,90806.9,-5.88E+03,45,254,3885
0,13440,103792,-6159,178,301,4822
0,19139.2,130542,-8637,223,326,4163
0,12139.1,53150,-5291,21,214,2327
0,10864.1,44379,-5275,53,204,2190
0,9228.58,40678,-5025,61,183,2000
0,12054,62494,-4120,42,214,2672
2,2584.09,49.4464,-5.11E+02,6,33,5
0,24236.6,582468,-10073,92,540,19224
0,11533.2,49333,-5951,173,243,2390
3,9801.52,38919.6,-2.13E+03,15,196,1885
4,4747.43,4635.01,-2.09E+03,13,79,317
4,15285.5,110659,3.63E+03,41,322,4619
0,10967.8,17797,-4871,26,217,983
1,5662.17,5412.76,-1.52E+03,26,85,343
3,18941.8,160343,-9.32E+03,88,388,6290
0,17996.5,216679,-9942,51,443,8095
4,5939.43,7098.13,-1569.28,35,93,545
0,31956.2,599720,-18538,188,725,17717
0,16024.8,132172,-6483,47,348,5123
3,7335.68,14743,-2747.52,82,134,970
5,13810.3,46425.1,-5826.69,62,273,2061
4,6952.75,6799.33,-1.21E+03,27,119,395
2,15814.4,116839,-4.92E+03,53,271,4426
4,11852.5,49483.6,-4.41E+03,49,234,2464
2,9855.44,10160.9,-2.08E+03,36,154,587
5,9623.14,30344.4,-3207.81,118,171,1747
5,8603.84,28834.5,-3485.26,39,179,1626
2,10609.9,57913.3,-4579.95,141,217,2904
5,14256.8,70378.1,-1.69E+03,52,223,2822
2,11974.3,74502.9,-3.97E+03,27,249,3630
0,9101.63,30378,-5074,29,168,1520
2,5861.35,7274.5,-1567.3,51,93,545
0,29772.3,844064,-12720,134,745,21699
2,6703.59,11857.2,-1880.69,9,105,765
0,12370.1,33326,-5327,37,227,1420
2,10525.7,37992,-4248.61,111,205,1751
0,9281.72,29930,-3733,42,181,1636
4,5045.96,3694.63,-2.37E+03,11,79,292
0,14679.6,112509,-9020,64,330,4528
0,12576.8,132848,-8284,165,285,5947
0,13485.9,139419,-7724,221,306,6277
0,20476.4,340133,-14337,358,517,11883
2,15908.2,160976,-8044.87,70,352,6744
4,6335.75,6659.97,-2.50E+03,172,109,486
4,5624.65,3355.85,-1080.62,39,71,249
3,12201.1,60692.1,-6.13E+03,25,247,2754
3,6737.37,4995.12,-2148.29,58,107,346
1,5072.21,4350.66,-1.32E+03,20,85,343
0,7311.42,8034,-2579,156,117,487
4,9338.77,10286,-2341.32,99,130,490
0,8486.81,22526,-4336,111,151,1307
3,11250.8,113779,-3.11E+03,44,235,4905
4,10018.4,36583.6,-4.26E+03,41,196,1997
3,9185.13,52499.6,-2.14E+03,19,188,2599
2,11382.2,73692.9,-5.48E+03,26,249,3630
2,5125.96,4415.91,-1.66E+03,34,85,343
3,4264.75,2017,-1066.56,5,63,166
4,5907.11,7038.84,-1602.54,48,93,545
0,8136.69,17344,-2977,54,125,849
2,5798.52,3488.97,-724.454,49,51,132
0,16865,72085.6,-5790.51,185,273,2464
0,14156.5,87086,-7748,77,293,3625
4,8541.95,13484.5,-2925.56,23,148,729
3,15147,59803.5,-4.74E+03,35,215,2188
5,6360.39,3892.08,-2.78E+03,13,86,205
0,5192.84,3965,-1683,10,86,270
5,7816.12,9180.41,-9.83E+02,25,102,516
0,13127.1,92755,-7859,43,303,3806
3,12972.2,60689.8,-5.30E+03,27,247,2754
4,9791.07,26618.1,-3348.08,32,174,1415
4,12049.5,29971.3,-2.37E+03,37,194,1521
0,4808.28,6920,-1776,6,83,484
0,8880.22,19677,-3487,27,153,938
0,12844.9,96530,-9252,24,313,4155
0,8921.57,26722,-2185,26,167,1511
0,11228.2,69214,-4965,25,258,3375
3,13474.3,141903,-6202.25,161,308,6057
0,7157.98,17570,-2765,62,110,929
0,5132.79,2480,-1802,7,78,166
3,20679.4,244912,-1.30E+04,90,540,8870
3,9736.87,28280.6,-2852.26,86,158,1403
5,7642.99,7037.49,-2075.54,41,108,428
2,21041.9,184844,-8.98E+03,90,449,5537
4,6614.71,6573.33,-2.79E+03,21,119,395
2,5202.34,4216.29,-9.09E+02,8,79,317
4,5434.34,3360.47,-1081.95,38,71,249
0,9251.13,36102,-2644,35,167,1989
0,15321.1,124995,-6173,81,336,4731
3,8897.84,26610.1,-2.76E+03,30,156,1364
4,7471.02,4142.95,-2.15E+03,31,86,205
4,7612.23,14274.7,-2307.04,84,120,809
3,13462.6,143279,-6330.92,161,308,6057
0,9712.34,44845,-5404,22,204,2254
1,9416.52,17256.4,-4228.78,36,183,931
4,14265.6,83025.8,-4.95E+03,52,272,3539
0,8302.25,8002,-4201,55,148,488
5,9366.64,26963.4,-2.73E+03,23,166,1414
2,14805.5,59485.2,-6645.75,149,305,2610
3,9482.04,24961.1,-1.05E+03,23,166,1111
4,9880.55,26813.1,-3323.6,28,174,1415
3,4266.45,1950.04,-1063,5,63,166
3,22013.3,243999,-1.10E+04,84,537,8350
1,6039.8,4764.71,-1.07E+03,20,85,343
5,15109.1,79494.5,-6600.42,109,320,3466
0,19614.2,501801,-12113,278,506,16575
0,13678.4,57335,-5957,55,287,2405
0,14263.2,173087,-6572,59,301,7444
3,7947.95,11615.2,-2629.05,84,128,693
2,3802.24,1450.03,-1019.62,42,52,133
0,34825.9,1508290,-26917,139,874,41819
0,11097.1,47352,-6153,42,211,2248
4,12905,45820.1,-5840.43,57,273,2061
4,8300.37,20427.3,-3621.79,93,163,1162
3,8828.33,25795.7,-3090.83,33,157,1519
0,12397.3,56581,-4516,39,248,2753
3,8668.38,26652.7,-2.67E+03,31,156,1364
4,7566.88,9185.08,-2472.78,25,123,621
3,14895.7,171310,-4.26E+03,108,403,6746
4,18525.2,160511,-9.76E+03,98,388,6290
5,8137.95,24631.5,-2824.39,59,154,1252
2,11889.2,70734.7,-4887.65,116,247,3373
0,16108.5,128794,-4195,90,333,5121
5,9741.53,36221.1,-3.77E+03,41,196,1997
0,10644.1,22722,-3294,33,209,1115
3,4846.2,3128.27,-1173.53,33,71,249
0,19809,285086,-9416,77,441,10238
5,8376.66,12591.9,-2667.33,61,130,694
2,4087.9,1919.47,-1106.19,7,63,166
5,6970.9,6444.04,-2.23E+03,11,119,395
0,9770.75,26850,-4780,22,233,1373
5,11964.7,48695.9,-6.06E+03,26,215,2188
2,5332.46,3421.08,-804.578,50,51,132
3,9820.94,10516.1,-1.73E+03,34,154,587
1,12304.4,73472.9,-4.26E+03,30,249,3630
3,7108.35,4499.7,-2.05E+03,26,86,205
2,5854.02,7520.58,-1818.59,72,104,457
4,5370.49,4013.44,-2.30E+03,20,79,292
3,9300.58,27565.9,-2.59E+03,31,156,1364
4,4344.66,4011.06,-1422.23,13,72,340
2,20757.1,159488,-9.04E+03,88,449,5537
4,14057.1,47240.1,-5701.07,70,273,2061
4,13119.7,60608.3,-4.92E+03,36,247,2754
1,2529.04,46.0085,-2.62E+02,6,33,5
0,9011.15,20828,-3285,48,179,1162
2,15662.6,116426,-5.76E+03,53,271,4426
3,23765.4,268828,-1.20E+04,71,540,8870
5,8638.07,16466.5,-2743.15,77,142,844
3,10648,39048.1,-3947.54,20,193,2118
5,9999.91,12377.3,-2165.91,83,136,619
2,13661.6,46022.4,-2.53E+03,47,234,1581
4,10246.7,27628.7,-2.19E+03,20,194,1521
3,20066.1,179683,-4.34E+03,82,403,6746
3,6993.15,5263.25,-2134.76,59,107,346
3,15397.7,60046.8,-4.74E+03,33,215,2188
0,18186.1,249602,-10784,205,410,9001
3,5566.15,9981.57,-2.76E+03,26,109,689
2,3977.65,2186.52,-1094.32,20,54,165
4,25014.5,287781,-9.07E+03,98,537,8350
3,12327.2,79097,-6.22E+03,41,272,3539
0,12966.8,121213,-5715,47,253,4908
1,12167.1,73501.7,-4.44E+03,28,249,3630
4,4599.92,4038,-1.26E+03,28,88,292
3,6252.59,7446.61,-1609.68,47,93,545
4,22125.7,516168,-11458.6,141,540,18067
2,10824.1,34776.3,-3.62E+03,33,234,1581
0,16304.5,123388,-7974,63,352,5120
3,13054.1,50522.2,-4.65E+03,41,234,2464
0,8506.9,14673,-3019,44,150,811
3,8539.76,12037.1,-2563.17,82,128,693
0,11718,29056,-4217,182,185,1362
0,10073.5,23619,-4336,29,175,1308
0,21581.5,434951,-14541,77,495,14641
0,19999.5,298364,-13328,346,526,10686
4,5587.39,4236.11,-1175.84,21,72,340
3,10354.9,48742.6,-4.04E+03,25,216,2677
4,10202.4,35610.3,-4416.55,118,208,1691
5,10079,33874,-3549.39,92,176,1922
0,11567,65527,-5329,136,225,2900
3,9931.83,27002.7,-2.24E+03,15,166,1414
2,3779.18,2163.92,-1136.72,20,54,165
4,23758.5,316148,-9.94E+03,84,540,8870
0,16800.8,105041,-5774,48,333,4250
3,25002.3,303703,-8.99E+03,104,537,8350
2,21376.3,169002,-2.03E+01,100,449,5537
3,21129.1,200444,-3.38E+03,75,403,6746
0,14016.5,49518,-5312,22,226,2263
3,8081.66,25410.6,-3299.99,25,157,1519
2,4749.81,4297.99,-8.78E+02,11,79,317
0,13196.9,102202,-6058,82,329,4345
0,18916.8,240183,-9215,67,441,8998
4,5002,2367.17,-1089.63,12,77,205
4,13029.7,73230.5,-5479.45,41,262,3211
4,13111.8,142314,-6260.52,169,308,6057
4,6651.48,3925.17,-2190.53,67,101,249
0,9793.43,31373,-4940,38,190,1529
4,8053.47,25382.7,-2.14E+03,30,156,1364
3,7982.94,25708.7,-1.87E+03,30,156,1364
3,9258.02,38792.2,-2.71E+03,21,196,1885
2,22297.6,410199,-7.12E+03,63,473,14125
4,4295.97,1308.07,-775.771,16,51,102
2,19288.3,147427,-1.02E+04,63,449,5537
3,5161,3202.11,-1116.65,39,71,249
3,6131.69,7523.34,-1728.79,50,93,545
0,8731.22,47679,-3458,48,181,2321
3,9880.61,51664.6,-3.42E+03,19,188,2599
3,9555.61,39280.7,-3.22E+03,15,196,1885
0,21687.9,271401,-10382,108,449,7353
0,7292.61,12627,-2266,10,129,693
5,8194.91,4793.26,-2616.67,27,131,271
0,11312.3,50808,-3789,30,195,1753
0,6909.55,8116,-3089,53,113,490
2,13307.8,51370.1,3.68E+01,29,234,2464
4,8890.69,28084.7,-1.85E+03,23,156,1364
4,10314.5,26861.9,-3244.88,31,174,1415
3,14478.6,142020,-5.92E+03,53,315,5844
2,5704.25,4205.56,-1.08E+03,12,79,317
3,12748.4,46877.9,-4.50E+03,23,215,2188
4,4890.35,2889.53,-1303.98,54,67,224
0,11993.5,39628,-6394,39,258,1937
3,13267.7,91675.6,-4.54E+03,58,254,3885
2,5858.6,4149.47,-1533.08,124,88,318
2,17731.4,163471,-7362.47,78,352,6744
4,22061.4,256686,4.75E+03,86,540,8870
3,8322.4,12208.9,-2592.59,83,128,693
3,15798.9,109359,-7.28E+03,47,322,4619
0,8115.23,25661,-3085,28,130,1516
4,8398.57,20675.5,-3483.95,84,163,1162
3,6009.19,7529.48,-1620.08,52,93,545
0,12353.9,65136,-3098,153,213,2749
0,10667.2,21020,-2927,25,163,521
0,19646,267704,-5990,77,357,8465
4,9178.21,27151.4,-3088.72,96,158,1403
2,12082.6,50856.3,-6.10E+03,41,234,2464
2,7490.77,9224.45,-2942.89,21,138,554
2,12290.9,115286,-3.02E+03,41,235,4905
5,3702.45,2164.22,-560.396,6,43,161
3,14240,57931.9,-4.62E+03,39,215,2188
3,7567.98,15375.9,-2663.01,67,134,970
3,8092.53,10201.8,-2891.64,99,130,490
0,20576.7,147531,-10723,169,355,4068
0,4533.4,1175,-914,15,62,88
2,5286.21,4255.09,-2.38E+03,15,79,292
3,10912.8,87094,-2.31E+03,15,220,3450
3,5734.87,7334.88,-1667.32,48,93,545
0,39428.4,1220430,-21623,246,815,18867
5,9205.22,14087.2,-2968.21,10,148,729
0,22172.7,410403,-14424,382,546,13966
2,3759.31,2185.84,-1102.23,20,54,165
2,5559.23,4171.25,-1553.91,127,88,318
4,13845.8,81882.7,-6.42E+03,72,272,3539
0,11440.6,37430,-2665,30,147,1210
3,10206.1,36888.7,-4.03E+03,42,196,1997
3,25328.7,472677,-1.03E+04,53,483,15505
0,14453.3,93126,-9233,53,290,3803
5,7620.48,12151.3,-2575.07,42,130,694
2,7658.27,9212.98,-2833.02,24,138,554
1,9210.41,17239.7,-4269.84,32,183,931
0,7902.83,13062,-2274,35,152,762
5,9711.73,30508.1,-3192.26,116,171,1747
5,12228.2,70195,-5608.77,45,262,3211
2,15955,161357,-7747.97,72,352,6744
5,21328.3,279173,-10124.5,68,468,9276
0,19426.5,274472,-9066,76,391,8730
3,13348.3,142606,-6197.34,174,308,6057
3,18468.9,160473,-9.18E+03,89,388,6290
4,8499.95,24569.2,-3125.09,33,157,1519
0,14275.7,104518,-8010,37,312,4345
4,3977.65,1391.76,-819.268,29,52,133
0,12227.4,48080,-3344,37,250,2256
4,7763.22,9009.8,-1.10E+03,31,102,516
5,9715.95,30500.2,-3205.04,122,171,1747
0,12530.7,29450,-5413,159,198,1369
3,4291.39,1960.09,-1061.84,5,63,166
0,7898.05,20592,-3601,127,148,1022
3,21856.7,409666,-8.59E+03,60,473,14125
5,5064,1755.06,-1466.36,16,76,147
1,11198.9,69093.3,-5244.66,147,247,3373
0,9779.28,32369,-3867,84,174,1631
0,6690.95,11195.1,-1708.97,59,92,551
5,9588.62,37541.1,-3607.71,51,180,2054
5,9844.78,36353.2,-4.61E+03,43,196,1997
3,11959.5,51926.9,-3.79E+03,15,216,2677
4,5869.83,10845.4,-1890.38,19,102,764
0,15269.1,124305,-9160,66,327,4632
3,22288.7,248500,-1.25E+04,98,537,8350
0,21634.1,199813,-10447,61,408,6413
4,14351,109300,-6.92E+03,49,322,4619
1,10951.3,67957.2,-5376.51,142,247,3373
0,10957.2,78135,-5349,59,242,3705
0,16254.2,187705,-8758,52,369,7467
0,9293.1,16119,-5214,72,174,854
3,11170.8,85268,-2.71E+03,25,220,3450
3,13696.4,90473.1,-5.41E+03,55,254,3885
5,8064.21,9521.81,-9.61E+02,25,102,516
3,5683.08,4222.67,-1435.6,126,88,318
0,14726.4,79194,-6063,33,265,3138
3,6329.82,10247.8,-2.53E+03,16,109,689
4,8838.51,20211,-3534.3,83,163,1162
0,11933.3,58048,-5589,74,255,2754
4,19505.3,182069,-4.71E+03,69,403,6746
3,13245.9,61793.7,-5.69E+03,32,247,2754
5,9628.89,36051.7,-4.36E+03,43,196,1997
5,4608.22,2373.87,-853.472,24,54,165
3,12289.5,90423,-6.12E+03,52,254,3885
4,13544.6,59228.5,-5.68E+03,16,215,2188
3,8679.07,26351,-2.56E+03,32,156,1364
4,12706.2,81125.1,-4.32E+03,74,272,3539
3,24256.2,260554,-9.34E+03,94,537,8350
5,14326,95644.6,-5650.1,43,294,4249
3,10864.4,49647.6,-4.02E+03,16,216,2677
5,15343.5,80553.6,-7183.69,68,320,3466
3,16320.1,110762,-5.84E+03,34,322,4619
2,13150.3,40374.7,-4.03E+03,31,234,1581
4,5675.04,7136.33,-1677.37,49,93,545
3,12959.4,50617.4,-2.86E+03,36,223,2059
4,10265.4,109827,-2.47E+03,43,235,4905
2,3994.58,1443.9,-998.054,42,52,133
0,15862.6,106705,-7445,57,319,4157
4,10840,39373.8,-3960.88,25,193,2118
5,5356.63,1809.09,-1475.83,22,76,147
2,4814.44,3028.91,-1182.64,36,71,249
